customer_id,signup_date,plan_type,monthly_fee,acquisition_cost,churn_date
1496,2024-02-06,Basic,50,30,NA
1497,2024-04-24,Basic ,50,30,NA
1498,2025-02-09,Pro,NA,100,NA
1499,2025-04-18,E+nt$erprise,500,200,NA
1500,2024-01-26,Bas&ic,50,30,NA
NA,2025-03-13,NA,NA,200,2025-05-19
NA,2025-05-07,B^asi_c,50,30,NA
1503,2024-09-05,$Ba.sic,NA,30,NA
1504,NA,Pro,NA,100 ,NA 
1505,2025-01-06,Pro,200,100,NA
1506,2024-08-18,Bas.ic,50,30 ,NA
1507,2024-10-12 ,Ent!erp%r@ise,500,200,NA 
1508,2024-10-09,Pro,200,100,NA
NA,2024-10-08,Enter)prise,500,200 ,NA
1510,2024-01-09 ,Enterprise,500,200,2024-11-20
1511,2024-03-21,Pro ,200,100,NA
1512,2024-05-05,Pro,200,100,NA 
NA,2024-07-11,Pro,200,100,NA
1514,NA,Pro,200,100,NA
1515,2025-04-03,Ente.rprise ,500,200 ,NA
1516 ,2024-12-24,_Ent%e$rpr^i^se,500,200,NA
1517,2024-03-12,NA,50,30,NA
1518,2024-03-03,B%ASIC,50,30,NA
1519,2024-02-15,En!terpr_ise,500,200,2025-06-03
1520,2024-05-01,basic,50,30,NA
1521,2024-10-30 ,Pr&o,200 ,100,NA
1522,2024-05-09,Pro,200,100,NA
1523,2024-11-09,pro,200,100,na 
NA,2024-12-02,NA,200,100,NA
1525,NA,Enterpr&ise,500,200,2025-05-13
1526,2025-02-12,Enterpr-ise,500,200,NA
1527,2024-04-25 ,Pro,200,100,NA
1528,2025-05-14,P(ro,200,100,NA
1529 ,2025-02-22,NA,NA,100,NA 
1530,2025-05-27,Basic,50,30,NA
1531,2025-04-29,-Enterp.rise,500,200,NA
1532,2024-04-02,Enterprise,500,200,NA
1533,NA,Pro,200,100,NA
1534,2024-09-24,Ent+erprise,500,NA,NA
1535,2024-10-10,PR)O,200,100 ,NA
NA,2024-09-05,Pro,200,NA,NA
1537 ,2025-06-27,#Enterprise,500,200,NA
1538,2024-08-26,pro,200,100,NA
1539,2025-03-11,Pro,NA,100,NA
1540,2024-10-16,P@ro,200,100,NA
1541,2024-11-25,Pro,NA,100,NA
1542,2024-06-16,Basic,50,NA,NA
1543,2024-02-12,#En(te-rprise,NA,NA,NA
1544,2024-11-02 ,Pro ,200,100,2025-04-28
1545,2024-11-16,Basic,50,30,NA
1546,2025-05-27,Pro,NA,100,NA
1547,2024-07-15,E$nterprise ,500,200,NA
1548,2024-01-01,Basic,50 ,NA,NA
1549,2024-04-24,PRO,200,100,NA
1550,2024-01-05,Basic,50,30,NA
1551,2024-02-24,Basic,50,30,NA
1552,2024-07-08,Enterprise,500,200,2025-03-12
1553,2024-01-17 ,Enterprise,500,200,NA
1554,2024-09-22,Pr_o,200,100,NA
1555,2025-03-29,Enterp$rise,500,200,NA
1556,2025-04-11,Enter.pr)ise,500,200,NA
1557,2025-03-12,Enterpr.ise ,500,200,2025-05-06
1558,2024-02-23,Enterprise ,500,200,2024-04-14
1559,NA,Pro,200,NA,NA
1560 ,2025-02-23,Pro,NA,100 ,NA
1561,NA,Enterprise ,NA,200,NA 
1562,2024-06-09,E+nterprise,500 ,200,NA
1563,2024-06-03,B$as@ic,50,30,NA
1564,2025-06-24,Enterprise,500,200,NA
1565,2024-03-30,Pro,200,100,2024-06-02
NA,2024-06-02,Basic,50,30 ,NA
1567,2025-05-09,NA,500 ,200,NA
1568,NA,Basic,50,30,NA
1569,2025-02-01 ,$Basic,50,30,NA
1570,2024-02-11,Enterpris*e,500,200,2025-03-17
1571,2025-01-04 ,En*terprise,500,200,NA
1572,2025-02-07,Pro,200,100,NA
1573,2024-07-07,Enterprise ,500,200,NA
1574,2024-10-17,En#terp!rise,500,NA,NA
1575,2024-07-06,Enterpris#e,500,200,NA
1576,2024-06-22,Pro,200,100,2025-03-31
1577,2025-04-22,.Basic,50,30,NA
1578,2024-12-01,Basic,50,30,NA
1579,2025-02-19,Basic,50,30,2025-05-13
1580,2024-05-27,Pro,200,100,NA
1581,2025-03-16,Basic,50,30,NA
1582,2025-05-02,Enterpri@se,500,200,NA
1583,2025-05-21,NA,50,30,NA
1584,2025-04-08,Enter.prise,500,200,NA
1585,2025-02-10,Pro,200,100,NA
1586,2025-02-03,Pro,NA,100,2025-06-30
1587,2025-03-29,Pro,NA,NA,NA
1588,2024-05-18,Basic,50,30,NA
1589,2024-12-28 ,Enterprise ,500,200,NA 
1590,2024-11-05,NA,NA,200,NA
1591,2024-11-28,Enterpris_e,500,200,NA
1592,2024-03-29,Pro ,200,100,NA
1593 ,2025-05-02 ,NA,NA,NA,2025-06-01
1594,2024-08-05,NA,200,100,NA
1595 ,2024-05-13,Pr%o ,200,100 ,2024-08-20
1596,2024-08-10,Pro,200,100 ,NA
1597,NA,Ba!sic,50,30,NA
1598,2024-04-23,Basic,50,30,NA
1599,2024-06-01,Pr^o,200,100,NA
1600,2025-05-31,E+nterpr.ise,500,200,NA
1601,2025-02-19 ,Pro ,200,100,NA
1602,2025-06-01,NA,50,30,2025-06-30
1603,2024-12-22,Enterp#rise,500,200,NA
1604 ,2024-01-18,Enterprise,500,200,NA
1605 ,2024-04-03,(Pro,200 ,100,NA
1606 ,2025-02-12,basic,50,30,NA
NA,2025-03-01,Pr_o,200,NA,2025-05-01
1608,2025-04-23,Enterprise ,500,200,NA
1609,2024-02-15,BAS+IC,50,30,NA
1610 ,2025-05-24,Enterprise ,500,200,NA
1611,2024-11-25,NA,200,100,NA
1612,NA,Pro,200,100,NA
NA,2024-01-06,Enterprise,500,NA,NA
1614,2025-01-11,Pro,200,100,NA 
1615 ,2024-04-22,Pro,200,100,NA
1616,2024-04-02,Enterprise,500,200,2025-03-28
1617 ,2024-01-25,Ba_sic,50,NA,2025-03-12
1618,2025-02-24,Basic,50,30,NA 
1619,2025-05-13,Enterprise,500,200,NA
NA,2024-12-21,PRO,200,100,NA
1621,2024-04-14,Basic,50,30,NA
1622,2024-02-24 ,Enterprise,500,NA,NA
1623,2025-05-15,Ent+erpris*e,500,200,NA
1624,NA,Enter@prise,500,200,2024-09-19
1625,2024-01-07,Basic ,50,30,NA
1626,2024-05-30,Ba.sic,50 ,30,NA
1627,2024-08-26,Enterprise,500,200,NA
1628,2024-10-14,-Basic,50,30,NA
1629,2024-11-21,Pro,200,100,2025-04-21
1630,2024-01-30,@B.asic,50,30,NA 
1631,2025-02-08,+Ent#e%rprise,500,200 ,NA
1632,2024-11-19,Pro,200,NA,NA
1633,2024-02-16,NA,500,200,NA 
1634 ,2024-08-11,Enterprise,500,200,NA
1635,2024-01-30,Enterprise,500,200,NA
1636,2024-08-11,Enterp$rise,500,200,NA
1637,NA,Ent-erp!ri%s+e,500,200,NA
1638,NA,Pro,200,100,NA
1639,2024-09-06,pro,200,100,NA
1640,NA,ba*sic,50,30,NA
1641,2024-07-25,Basic ,50,30,NA
1642,2025-01-18,Ent(erprise,500 ,200,NA
1643,2024-06-24,Basic,50,30,NA
1644,NA,Enterprise,500,200,NA
1645,2025-02-20,Basic,50,30,NA
NA,2025-03-14,Enterpr(ise,500 ,NA,NA
1647,2024-12-11,Basic ,50,30,NA
1648,2025-04-16,basic,50 ,30,NA
1649,2025-06-14,P_ro,200,100,NA
1650,2025-04-09,Pro,200,100,NA
1651 ,2025-06-02,E%N!TERPRISE,500,200,NA
1652,2024-06-30,Bas.i+c,50,NA,NA
1653,2024-04-23,P$ro,200,100,NA
1654,2025-03-02,Basic,50,30 ,NA
1655,2025-01-20,Basic,50,30,NA
1656,2024-10-01,Pro,200,100,2025-01-15
1657,2024-12-14,Basic,50,30,NA
NA,2024-12-21,En*terprise,500,200 ,NA
NA,2024-06-20,Pro,200,100,NA
1660,2024-03-11,_E.nterprise,500 ,NA,NA
NA,2024-03-22,Basic ,50,30,NA
NA,2025-06-28,Pro,200,100,NA 
1663,2024-07-20,Basic,50,30,NA 
1664,2024-01-23,Enterprise,500,200,NA 
1665,2024-08-20,!Enter$prise,500,200,NA 
NA,2025-05-08 ,_B!asic,50,30,NA
1667,2025-01-03,Basic,50,30,NA
1668,2024-12-18 ,Enterpris)e,500,200,NA
1669,2024-04-17,Enterprise,500,200,NA
1670,2025-01-28,Basic,50,30,NA
1671,2024-09-19,B)asic,50,30,NA
1672 ,2024-08-19,NA,50,30,2024-09-25
1673 ,2025-03-10,Enter&pris*e,500,200,NA
1674,2024-02-07,Pro,200,100,NA
1675,2024-07-05,Pro,NA,100,NA
1676,2024-07-18,Enterpri@se,500,200,NA
1677,2024-04-18,Ba_sic,50,30,NA
1678,2024-02-08,Enterpr%ise,500,200 ,NA
1679,2025-02-27,BASIC,50,30,NA
1680,NA,NA,200,100 ,NA
1681,2024-12-10,Enterpri(se,500,200,NA
1682,2024-04-04,Basi_c,50,30,NA
1683 ,2024-03-06,Pr&o,200,NA,2025-06-14
1684 ,2025-05-05,enterprise,500,200,na 
1685 ,2024-09-13,Pro,200,100,NA
1686,2024-04-19,Bas.ic,50,30,2025-04-21
1687,NA,E@nterprise,500,200,NA
1688,2024-12-23,B(asic,50,30,NA
1689,2025-02-13,NA,50,NA,NA
1690,2024-06-21,Pro,200,100,NA
1691,2024-09-29 ,Enterprise,500,200,NA 
1692,2024-08-06,NA,200,100,NA
1693,2025-06-05,Basic,50,30,NA
1694,2025-03-19,Pro,200,100,NA
1695,NA,Pro ,200,100,NA
1696,2025-02-12,Enterprise,500,200,NA
NA,2025-04-24,Basi*c,50,30,2025-06-13
1698,2025-06-11 ,PRO ,200,NA,NA
1699,2024-01-07,Pro,200,NA,NA
1700,NA,Basic,50,30,NA
1701,2024-09-12,Basic,50,30,NA 
1702,2024-12-07,E*nterpri@s)e,500 ,200,NA
1703,2024-10-24,Bas%ic,50,NA,NA
1704,2025-01-30,B#asic,50,30,NA
1705 ,2025-04-16,Pro,200,NA,NA
1706,2024-07-17 ,En!terp-rise,500,200,NA
1707,2025-03-04,Enterpri(s(e,NA,200,NA
NA,2024-03-05,B)asic,50,30,NA
1709,2024-07-11 ,Pro,200,100,2025-03-10
1710,2024-04-16,Basic,50,30,NA
1711 ,2025-03-07,Bas(ic ,50,30,NA
1712,2025-06-10,Ba)sic,50,30,NA
NA,2024-09-01,Enterpr-ise,500,200,NA
1714,2024-07-24,E^n$terprise,500,200,2024-09-03 
1715,2024-06-07,+Enterp+ri)se,500,200 ,NA
1716,2024-07-31,!Basic,50,NA,NA
1717,2025-06-16,BASIC,50,30,NA
1718,2025-02-16,Basic,50,30,NA
1719,2025-01-31 ,Pro,200,100,NA
1720,2024-11-30 ,Basic,50 ,30,NA 
1721,NA,Bas&ic,50,30,2025-04-03
1722 ,NA,Enterprise,500,200,NA
1723,2024-01-03 ,Enterp#rise,500,200,NA
NA,2024-11-20,NA,500,200,2025-04-02
1725,2025-06-29,NA,500,200,NA
1726,2025-03-01,Ba@sic,50,30,2025-04-30 
1727,NA,Pro,200,NA,2025-06-22
1728,2025-06-25,Enterprise,500,NA,NA 
1729,2025-05-08,Enterprise,500,200 ,NA
1730 ,2024-07-15,+Enterpris-e,500,200,NA
1731,2024-03-05,Enterpri_se,500,200,NA
1732,2025-01-02,Enterpri_se,500,200,NA
1733,2024-03-29,NA,NA,100,NA
1734,2024-01-30 ,Pro,200,100 ,NA
1735,2025-05-05,Ba#sic,50,30,NA
1736,2024-12-18,Ent*erp*rise ,500,200 ,2025-02-25
1737,2024-06-05,Pro,200,100,2024-10-09
1738,2024-02-22,PRO,200,100,NA
NA,2024-08-12,Pro,200,100,NA
NA,NA,^Enterprise ,500,200,NA
1741,2024-03-10,Enterp&rise,NA,200,NA
1742 ,2024-01-11,Pr*o,200,100,NA
1743 ,2025-02-21,NA,500,200,NA
1744,2025-05-24 ,Basic,50 ,30 ,NA
NA,NA,Basic,50,NA,NA
1746,2024-05-28,NA,50,30,NA
1747,2024-05-09,Pro ,200,100 ,2024-07-21
1748,2024-02-04,Pro,200,100,NA
1749,2025-04-22,pro,200,NA,NA
1750,2024-10-24,ENTE-R^PRISE,500,200,2025-05-10
1751,2024-06-23,Basic,50,30,NA
1752,2024-08-20,Basic,50 ,30,NA
1753,2024-09-26 ,Pro,200,100,NA
1754,2025-03-05,Basic,50,30,NA
1755,2024-03-28,En)t^erpris%e,500,200,NA
1756 ,2024-03-07,Pro,200,100,NA
NA,2024-05-03,NA,50,30,NA
1758,2024-04-25,Basic,50,30,NA
1759,NA,P%ro,200,100 ,2024-12-13
1760 ,2024-12-23 ,Ba%sic,50 ,30,NA
1761,2024-11-27 ,Basic,50,30,NA
1762,2024-05-25,Ba*sic,50,30,NA
1763,2024-07-12,Pro,200,100,NA
1764,2024-12-04,Enterpris(e ,500,200,2025-01-10
NA,2024-06-16,Basic,50,30,2024-12-02
1766,NA,Basic,50,30,NA
1767,2024-12-31,Pr-o,200,100,2025-04-09
1768,2025-06-22,Pr.o,NA,100 ,NA
1769,NA,Ent$erprise,500,200,NA
1770,2024-05-05,Pro,200 ,100,NA
1771,2024-07-10,E^n+terprise ,NA,200,NA
1772,2025-06-27,E$nterprise,500,200,NA
NA,2024-08-26,BASIC,50,30,NA
1774,2024-10-29,Basi^c,50,30,NA
1775,2024-05-20 ,Pro ,200,100,NA
1776,2025-02-02,Enterprise,500,200,NA
1777,2024-01-06,Bas*ic ,50,30,NA
1778 ,2024-01-09,Basic,50,30,NA
1779 ,2024-11-09,Basic,NA,30,NA
1780,2024-08-24,Basic,50,30,NA
1781,2024-04-20,+Basic,50,NA,NA
1782,2025-04-24,Pr+o,NA,NA,NA
1783,2024-09-26,Pr&o,200,100,NA
1784 ,2024-10-29 ,Pro,200,100 ,NA
1785,2024-10-07,NA,50,NA,NA
1786,2024-06-30,Enterprise,500,200,NA
1787,2024-04-02,Enterp.ris!e,500,NA,NA
1788,2025-04-03,Pro,200,100,NA
1789,2025-02-21,Enterprise,500,200,NA
1790,2024-12-08,Pr(o,200,100,NA
1791,2025-05-24,Pro,200,NA,2025-06-23
1792,2024-10-16,Basic,50,30,NA
1793,2024-02-03,@Basic,50,30,NA
1794 ,2024-09-29,Enterpri%se,500,200,NA
1795,2024-09-10,NA,500,200,NA 
1796,2024-03-13,Ba-sic,50,30,NA
1797,2025-03-07,BA$SIC ,50,30,NA
1798,2024-10-27,Enter.prise,500,200,NA
1799,NA,Basic,50,30,NA
1800,2025-03-27,Pro,200 ,100 ,NA
NA,NA,Enterprise,500,200,NA
1802,2025-02-01,Enterprise,500,200,NA
1803 ,2024-02-25,Enter#prise ,500,200 ,NA
1804,NA,Bas!i)c,50,30 ,NA
1805,2024-10-21,Pro,200,100 ,NA
1806,2024-12-16,NA,500,200 ,2025-03-18
NA,2024-12-06,Basic,50,NA,2025-03-13
NA,2024-11-04,Enterprise,500,NA,NA
1809,2025-06-23,Pro,200,100,NA
1810,2024-12-17,Ente!rprise,500,200,2025-03-23
1811,2025-02-27,En!te-rpr+ise,500 ,200,NA
1812,2024-10-20,Pro,200 ,100,NA
1813,2024-12-01,Basic,50,30,NA
1814,2024-09-16,Basic,50,30,NA
1815,2024-02-20,Pro,200,100,NA
1816 ,NA,Pro ,200,100,NA
1817,2024-04-21,Enterprise,500,200,2024-05-26
1818,2025-01-28,Enterpri*se,500,200,NA
1819,2024-09-24,PRO,200 ,100 ,NA
1820 ,2024-02-14,NA,200,100,NA
1821,2024-08-31 ,NA,50,30,NA
1822,2025-02-05,Basic,50,30,2025-03-24
1823,2025-05-06,Pro,200,100,NA
1824,2025-05-16,Pro,200 ,100,2025-06-15
1825,2025-04-11,pro,200,100,NA
1826,2025-05-17,e)nterprise,500,200 ,NA
1827,2024-08-11,Enterprise,500,200,NA
1828,2025-06-18 ,Pr-o,200,100,NA
1829,2024-06-12,Enterpri.se,500,200,NA
1830,2024-11-01,ente.rprise,500,200 ,NA
1831,2024-01-13,Pro,200,100,NA
1832,2025-02-16 ,Enterpr.ise,500,200 ,NA
1833,2024-07-25,Pro,200,100,NA
1834 ,2025-03-04,Pro,200,100,2025-06-02
1835,2024-04-06,Basic ,NA,30,NA
1836,2025-01-10,Enter#p#rise,500,200 ,NA
1837,2025-01-01,&Enterp@rise,500,200,NA
1838,2024-10-31,@Pro,200,NA,NA
1839,2025-03-26,Basic,NA,30,NA
1840,2025-05-28,B(asic,50,30,NA
1841,2025-01-20 ,NA,500,200,NA
1842,2024-06-17,Bas*ic,50,30,NA
1843,2024-02-27 ,Pro,200,100,NA 
1844 ,2024-02-10,basi+c,50,30,2025-03-12
1845,2024-01-08,BASIC,50,30,NA
1846,2024-09-26,Enterpr+ise,500,200,NA 
1847,2025-06-27,E@nterprise,500,200,NA
NA,2025-03-19 ,Basic,NA,30,NA
1849,2024-11-15,NA,50,30,NA
1850,2024-01-09,Pro,200,100 ,NA 
1851,2024-01-11 ,Pro,200,100,NA
1852,2025-05-20 ,NA,500,200,NA 
1853,2024-05-14,Pro,200,100,NA
NA,2025-05-21,Pro,200,100,NA
NA,NA,NA,200,100,NA
NA,2025-03-13,NA,NA,30,NA
NA,2024-12-30,(Pro,200,100,NA 
1858,2024-03-28,P-ro,200,100,NA
1859,2024-03-22,Pro,200,NA,NA 
1860,2024-11-01 ,Basic,50,30,NA
1861,2025-03-05,Pro,200,100,NA
1862,2024-10-12,%Enterprise,500,200,NA
NA,2024-05-22,B*asic,50,30,NA
1864,2024-08-04,Pro,200,100,NA
1865,2024-04-08,Pro,200,100,NA
1866,2024-07-30,Pro,200,NA,NA
1867,2024-05-04,Pro,200,100,NA
1868,2025-06-22,Pro ,200 ,NA,NA
1869,2024-05-21,B(as$ic,50,30,NA
1870,2024-07-23,Pro,200,100,NA 
NA,NA,Pro,200 ,100,NA
1872,2024-09-23,Basic,50 ,30,NA
1873,2024-02-24,)Basic,50,30,NA
1874,2025-01-05,B%asic,50,30,NA
1875,2024-02-05,Pro,200,100,NA
1876,2024-12-05,Basic,50,30,2025-05-13
1877,2025-01-28,PRO,200,100 ,NA
1878,NA,Pro,200,100,NA
1879,2024-11-13,Basic,50,30,NA
1880,2025-03-09,NA,200,100,NA
1881,2024-11-19,Bas@ic,50,NA,NA
1882,2024-08-10,Enterprise,500,200,NA
1883,NA,Basic,50,30,2025-04-07
1884,2024-12-20,Pro,200,100,NA
1885,2024-06-26,Pr^o,200,100,NA
1886 ,NA,B_asic,50,30,NA
1887,2024-06-20,B!asic,50,30 ,NA
1888 ,2025-01-01,P-ro,200,100,NA
NA,2024-01-15,NA,50,NA,2024-10-29
1890 ,2024-11-24,Pro,200,100,NA
1891,2025-03-30,basic ,NA,30,NA
1892 ,2025-06-11,Basic,50,30,NA
1893,2024-07-25,Basic,50,30,NA 
1894,2024-09-13,Basic,50,30,NA
1895,2024-10-24,Pro,200,100,NA 
1896,2025-03-01,Basic,50,30 ,2025-06-07
1897,NA,Bas%ic,50 ,30,NA 
1898,2025-01-04,^Basic,50,30,NA 
1899,2024-01-29,Pro,200,NA,2025-01-24
1900,2025-03-13 ,Basic,50,NA,2025-05-05
1901,2025-03-17,Enterprise,500,200,NA
1902,2024-07-20,En#terpr(ise,NA,NA,NA
1903,2024-07-22,+Basic ,50,30,NA 
1904,2024-07-30,Ba^sic,NA,30,NA 
1905,2024-11-06,Enterpr%ise,500,200,NA
1906,2024-09-06,NA,500,200,NA 
1907,2024-11-26,Basic,50,30,NA
NA,NA,#enterprise ,NA,200,NA
1909,2024-10-07,NA,200,100,NA
1910,2024-03-16,Pro,200,100,NA
NA,2024-11-15,P#ro,200,100,NA
1912,2024-09-20,Basic,50,30,NA
1913,2024-03-24,Enter(prise,500,200 ,NA
1914,2025-05-31,Enterpr*ise,500,200,NA
1915,2024-11-27,Pro,200,100,NA
1916,2024-10-27,Basic,50,30,NA
1917,2025-02-09,Basic,50,30,NA 
1918,2024-06-22,Pro,200,100,2024-12-13
1919,2024-03-09,Bas&ic,50,30 ,NA
1920 ,2024-04-11,P(ro,200,100,NA
1921,2024-10-29,Enterprise,500,200,NA
1922,2024-05-16 ,Ente&rpr+ise ,500,200,NA
1923,2025-06-23,Basic,50 ,30,NA
1924 ,2024-10-26,Basic,50,30,2025-06-20
1925,2024-03-01,Basic,50,30,NA
1926,2024-01-07,Enterprise,500,200,NA
1927,NA,Pro,200,100,NA
1928,2025-03-07 ,NA,50,30,NA 
1929,2024-09-13,Enterprise,500,200,2024-11-18
1930,2024-11-03,BASIC,50,30,NA
1931,2024-10-28,NA,50 ,30,NA
1932,2024-01-23,Pro,200,100,NA
1933 ,2024-10-30,Basic,50,30,NA
1934,2025-02-27,NA,200 ,100,NA
1935,2024-03-19,#Pro,200,100,NA
1936,2025-01-13,basi$c,50,30 ,NA
1937,NA,Ent_erpris^e,500,200,NA
1938,2024-05-09 ,Basic,50,30 ,NA
1939,2024-01-22,Basic ,50,NA,NA
1940,2024-05-28 ,NA,50,30,NA
1941,2025-03-23,NA,50,30,NA
1942,2025-06-21,Basic,50,30,NA
1943,2025-03-17,Pro,200,100,NA
1944,2024-08-31,Enterpri$se,500 ,200,NA
1945,2025-04-05,Pro,200,100,NA
1946,2025-06-25,PRO,200,100,NA 
1947,2024-04-27,BASIC,NA,30,NA
1948 ,2024-12-16,Basic,50,30,NA
1949,2024-06-14,Pr+o,200,100,NA
1950,2024-04-14,Pro,200,100,NA
1951,2024-05-13,Basic,50,30,2024-11-02
1952,2024-04-15,Pro ,200,100,NA
1953,2025-06-20,Basic,50,30,2025-06-30
1954,2024-10-16,Enterpri@se,500,200,NA
1955,2025-01-12,Pr@o ,200,100,NA
1956,2025-05-11,Basic,50,NA,NA
1957,2025-04-13,Pro,200,100 ,NA
1958,2024-03-22,^Enterprise,500 ,200 ,NA
1959,2024-07-14,Basi%c,50,30,NA
1960,2024-01-15,Enterpri_se,500,200 ,NA
1961 ,2024-11-27,Pro,200,100,NA
1962,2024-01-05,Pr$o ,200,100,NA
1963,2024-06-06,Ent)er&pr-is+e,500,200,NA
1964 ,2025-05-21,Enterprise,500,200,NA
NA,2024-01-24,B@ASIC ,50,NA,2025-06-15
1966 ,2024-01-22,Pro,200,NA,NA
1967,2024-12-11,Pro,200,100,NA
1968,2025-02-15,NA,500,200,NA
1969,2025-03-15,NA,50,NA,NA
1970 ,2024-12-10,NA,200,100,2025-06-21 
1971,2025-04-05,enterpri-se,500,200,NA
1972,2024-11-15,Pro,200,100,NA
1973,2024-09-25,Basic,50,30,NA
NA,2024-10-05,Enterprise,500,200 ,NA
1975,2024-02-16,_Basic,50,30,2024-07-13 
1976,2024-09-21,Pro,200,100,NA
1977,2024-09-10,Bas-ic,NA,30,NA
1978,2025-05-12,Enter+prise,500,200,NA 
NA,2025-04-21,Basi_c,50,30,NA
1980,2025-05-07,Pro,200,100 ,NA
1981 ,2024-08-05,NA,500,200,NA
1982 ,2024-06-19,Basi.c,50,30,2025-05-22
1983,2024-03-13,BASIC ,50,30,NA
1984,2024-04-06,)Enterprise,500,NA,NA
NA,2024-03-29 ,Basic,50,30,NA
1986,2024-06-17,NA,500,200,2024-11-16
1987,2024-03-30,Enterprise,500,200,NA
1988,NA,Enter$pri(se,500,200,2025-03-28
1989,2024-08-24,Basic,50,30,NA
1990,2025-04-25,Basi+c,50,30,NA
1991,2024-11-10,Pro,200,100,NA
1992,2024-05-23,Pro,200 ,100,NA
1993,NA,NA,200,100,NA
1994,2024-01-04,Basic ,50,30 ,NA
1995,NA,NA,200,NA,NA
1996 ,2025-02-18,Pro,200,100,NA
1997,2025-02-12,PR*O,200,NA,NA
1998,2024-01-13,basic,NA,30,NA
NA,2025-04-08,Enterprise,500,200,2025-06-05
2000,2024-07-24,Pro,NA,100,NA
